Entity,Code,Year,Annual CO₂ emissions (per capita)
Africa,,1954,0.4740996
Africa,,1955,0.5104573
Africa,,1956,0.52109855
Africa,,1957,0.5340307
Africa,,1958,0.5485227
Africa,,1959,0.53325933
Africa,,1960,0.5515589
Africa,,1961,0.5571884
Africa,,1962,0.5584053
Africa,,1963,0.5776179
Africa,,1964,0.6187093
Africa,,1965,0.66565555
Africa,,1966,0.6717069
Africa,,1967,0.702103
Africa,,1968,0.7429684
Africa,,1969,0.7817592
Africa,,1970,0.829414
Africa,,1971,0.88617426
Africa,,1972,0.915562
Africa,,1973,0.95795256
Africa,,1974,0.95793664
Africa,,1975,0.9288439
Africa,,1976,0.9794823
Africa,,1977,0.98201233
Africa,,1978,1.0191712
Africa,,1979,1.0680178
Africa,,1980,1.1140877
Africa,,1981,1.1084132
Africa,,1982,1.121514
Africa,,1983,1.1334519
Africa,,1984,1.2038226
Africa,,1985,1.1997913
Africa,,1986,1.2082844
Africa,,1987,1.1745242
Africa,,1988,1.2005676
Africa,,1989,1.1250036
Africa,,1990,1.03304
Africa,,1991,1.0515889
Africa,,1992,0.99396455
Africa,,1993,1.0269243
Africa,,1994,1.1202403
Africa,,1995,1.1676878
Africa,,1996,1.1761504
Africa,,1997,1.1761436
Africa,,1998,1.1716696
Africa,,1999,1.127536
Africa,,2000,1.1373366
Africa,,2001,1.0970197
Africa,,2002,1.0464746
Africa,,2003,1.122038
Africa,,2004,1.156532
Africa,,2005,1.1474754
Africa,,2006,1.1492242
Africa,,2007,1.1514653
Africa,,2008,1.1750045
Africa,,2009,1.1426399
Africa,,2010,1.153414
Africa,,2011,1.1608971
Africa,,2012,1.1321875
Africa,,2013,1.1114453
Africa,,2014,1.1508118
Africa,,2015,1.1003323
Africa,,2016,1.1016515
Africa,,2017,1.0856832
Africa,,2018,1.0491422
Africa,,2019,1.0992943
Africa,,2020,0.9982174
Africa,,2021,1.0311713
Africa,,2022,0.99422127
Asia,,1750,0.0
Asia,,1760,0.0
Asia,,1770,0.0
Asia,,1780,0.0
Asia,,1790,0.0
Asia,,1800,0.0
Asia,,1801,0.0
Asia,,1802,0.0
Asia,,1803,0.0
Asia,,1804,0.0
Asia,,1805,0.0
Asia,,1806,0.0
Asia,,1807,0.0
Asia,,1808,0.0
Asia,,1809,0.0
Asia,,1810,0.0
Asia,,1811,0.0
Asia,,1812,0.0
Asia,,1813,0.0
Asia,,1814,0.0
Asia,,1815,0.0
Asia,,1816,0.0
Asia,,1817,0.0
Asia,,1818,0.0
Asia,,1819,0.0
Asia,,1820,0.0
Asia,,1821,0.0
Asia,,1822,0.0
Asia,,1823,0.0
Asia,,1824,0.0
Asia,,1825,0.0
Asia,,1826,0.0
Asia,,1827,0.0
Asia,,1828,0.0
Asia,,1829,0.0
Asia,,1830,2.6882947e-06
Asia,,1831,3.2166306e-06
Asia,,1832,2.1368437e-06
Asia,,1833,2.6645928e-06
Asia,,1834,0.0
Asia,,1835,0.0
Asia,,1836,0.0
Asia,,1837,0.0
Asia,,1838,0.0
Asia,,1839,0.0
Asia,,1840,0.0
Asia,,1841,0.0
Asia,,1842,0.0
Asia,,1843,0.0
Asia,,1844,0.0
Asia,,1845,0.0
Asia,,1846,0.0
Asia,,1847,0.0
Asia,,1848,0.0
Asia,,1849,0.0
Asia,,1850,1.5974772e-05
Asia,,1851,0.0
Asia,,1852,0.0
Asia,,1853,0.0
Asia,,1854,0.0
Asia,,1855,4.8893915e-05
Asia,,1856,0.0
Asia,,1857,0.0
Asia,,1858,0.00055460323
Asia,,1859,0.00085805013
Asia,,1860,0.0009019046
Asia,,1861,0.0007518155
Asia,,1862,0.0008041736
Asia,,1863,0.00088372274
Asia,,1864,0.00085848954
Asia,,1865,0.0010252482
Asia,,1866,0.0014884602
Asia,,1867,0.0007856082
Asia,,1868,0.00065082824
Asia,,1869,0.00092203176
Asia,,1870,0.00083380425
Asia,,1871,0.0011063914
Asia,,1872,0.0011931447
Asia,,1873,0.001137388
Asia,,1874,0.0019918024
Asia,,1875,0.0032844257
Asia,,1876,0.00340323
Asia,,1877,0.0034918569
Asia,,1878,0.006574597
Asia,,1879,0.0068074726
Asia,,1880,0.007398662
Asia,,1881,0.007553609
Asia,,1882,0.008139693
Asia,,1883,0.0089494325
Asia,,1884,0.009581245
Asia,,1885,0.009928866
Asia,,1886,0.010535922
Asia,,1887,0.012109704
Asia,,1888,0.013386358
Asia,,1889,0.0156566
Asia,,1890,0.017043827
Asia,,1891,0.019333903
Asia,,1892,0.020435333
Asia,,1893,0.02271862
Asia,,1894,0.025195876
Asia,,1895,0.02899353
Asia,,1896,0.030746734
Asia,,1897,0.033279035
Asia,,1898,0.039635774
Asia,,1899,0.0417545
Asia,,1900,0.047257815
Asia,,1901,0.053753722
Asia,,1902,0.055557244
Asia,,1903,0.05795429
Asia,,1904,0.06469043
Asia,,1905,0.0653616
Asia,,1906,0.072385564
Asia,,1907,0.09937998
Asia,,1908,0.107573695
Asia,,1909,0.11003371
Asia,,1910,0.11079866
Asia,,1911,0.116942406
Asia,,1912,0.118079506
Asia,,1913,0.13443941
Asia,,1914,0.13881424
Asia,,1915,0.13180086
Asia,,1916,0.1435114
Asia,,1917,0.15395772
Asia,,1918,0.15737234
Asia,,1919,0.17177425
Asia,,1920,0.16290241
Asia,,1921,0.15835518
Asia,,1922,0.16588053
Asia,,1923,0.18099286
Asia,,1924,0.19238414
Asia,,1925,0.19293027
Asia,,1926,0.19451544
Asia,,1927,0.20892239
Asia,,1928,0.21755752
Asia,,1929,0.22444028
Asia,,1930,0.22210245
Asia,,1931,0.21211231
Asia,,1932,0.21003762
Asia,,1933,0.22807871
Asia,,1934,0.25582272
Asia,,1935,0.27567023
Asia,,1936,0.29440632
Asia,,1937,0.30820972
Asia,,1938,0.3121541
Asia,,1939,0.32797316
Asia,,1940,0.3661266
Asia,,1941,0.36855122
Asia,,1942,0.34247693
Asia,,1943,0.33515197
Asia,,1944,0.33383882
Asia,,1945,0.24736845
Asia,,1946,0.23670022
Asia,,1947,0.2836305
Asia,,1948,0.28454104
Asia,,1949,0.2809317
Asia,,1950,0.2905497
Asia,,1951,0.32374814
Asia,,1952,0.3517313
Asia,,1953,0.3684529
Asia,,1954,0.39505136
Asia,,1955,0.44023353
Asia,,1956,0.47805512
Asia,,1957,0.5260619
Asia,,1958,0.6937611
Asia,,1959,0.8213183
Asia,,1960,0.9053701
Asia,,1961,0.80740345
Asia,,1962,0.76224965
Asia,,1963,0.78736395
Asia,,1964,0.8123384
Asia,,1965,0.86728203
Asia,,1966,0.9221418
Asia,,1967,0.91480285
Asia,,1968,0.9864949
Asia,,1969,1.0931066
Asia,,1970,1.2568238
Asia,,1971,1.3437446
Asia,,1972,1.3894107
Asia,,1973,1.4592707
Asia,,1974,1.4533628
Asia,,1975,1.493025
Asia,,1976,1.5561897
Asia,,1977,1.6249511
Asia,,1978,1.6662923
Asia,,1979,1.7024306
Asia,,1980,1.6678641
Asia,,1981,1.625483
Asia,,1982,1.6475612
Asia,,1983,1.680072
Asia,,1984,1.74361
Asia,,1985,1.809716
Asia,,1986,1.8502374
Asia,,1987,1.8911842
Asia,,1988,2.003435
Asia,,1989,2.033325
Asia,,1990,2.0583844
Asia,,1991,2.2653565
Asia,,1992,2.1804879
Asia,,1993,2.2445257
Asia,,1994,2.3132675
Asia,,1995,2.3707252
Asia,,1996,2.4322503
Asia,,1997,2.4314637
Asia,,1998,2.3307304
Asia,,1999,2.4293537
Asia,,2000,2.497625
Asia,,2001,2.5074375
Asia,,2002,2.6111252
Asia,,2003,2.8381112
Asia,,2004,2.9711335
Asia,,2005,3.148226
Asia,,2006,3.3247905
Asia,,2007,3.4574094
Asia,,2008,3.5965998
Asia,,2009,3.6788867
Asia,,2010,3.9091635
Asia,,2011,4.150337
Asia,,2012,4.2622857
Asia,,2013,4.268991
Asia,,2014,4.2966805
Asia,,2015,4.2871428
Asia,,2016,4.2737656
Asia,,2017,4.348663
Asia,,2018,4.445855
Asia,,2019,4.506658
Asia,,2020,4.4004188
Asia,,2021,4.567902
Asia,,2022,4.611434
Asia (excl. China and India),,1750,0.0
Asia (excl. China and India),,1760,0.0
Asia (excl. China and India),,1770,0.0
Asia (excl. China and India),,1780,0.0
Asia (excl. China and India),,1790,0.0
Asia (excl. China and India),,1800,0.0
Asia (excl. China and India),,1801,0.0
Asia (excl. China and India),,1802,0.0
Asia (excl. China and India),,1803,0.0
Asia (excl. China and India),,1804,0.0
Asia (excl. China and India),,1805,0.0
Asia (excl. China and India),,1806,0.0
Asia (excl. China and India),,1807,0.0
Asia (excl. China and India),,1808,0.0
Asia (excl. China and India),,1809,0.0
Asia (excl. China and India),,1810,0.0
Asia (excl. China and India),,1811,0.0
Asia (excl. China and India),,1812,0.0
Asia (excl. China and India),,1813,0.0
Asia (excl. China and India),,1814,0.0
Asia (excl. China and India),,1815,0.0
Asia (excl. China and India),,1816,0.0
Asia (excl. China and India),,1817,0.0
Asia (excl. China and India),,1818,0.0
Asia (excl. China and India),,1819,0.0
Asia (excl. China and India),,1820,0.0
Asia (excl. China and India),,1821,0.0
Asia (excl. China and India),,1822,0.0
Asia (excl. China and India),,1823,0.0
Asia (excl. China and India),,1824,0.0
Asia (excl. China and India),,1825,0.0
Asia (excl. China and India),,1826,0.0
Asia (excl. China and India),,1827,0.0
Asia (excl. China and India),,1828,0.0
Asia (excl. China and India),,1829,0.0
Asia (excl. China and India),,1830,1.2822186e-05
Asia (excl. China and India),,1831,1.5337959e-05
Asia (excl. China and India),,1832,1.0179646e-05
Asia (excl. China and India),,1833,1.26735085e-05
Asia (excl. China and India),,1834,0.0
Asia (excl. China and India),,1835,0.0
Asia (excl. China and India),,1836,0.0
Asia (excl. China and India),,1837,0.0
Asia (excl. China and India),,1838,0.0
Asia (excl. China and India),,1839,0.0
Asia (excl. China and India),,1840,0.0
Asia (excl. China and India),,1841,0.0
Asia (excl. China and India),,1842,0.0
Asia (excl. China and India),,1843,0.0
Asia (excl. China and India),,1844,0.0
Asia (excl. China and India),,1845,0.0
Asia (excl. China and India),,1846,0.0
Asia (excl. China and India),,1847,0.0
Asia (excl. China and India),,1848,0.0
Asia (excl. China and India),,1849,0.0
Asia (excl. China and India),,1850,7.3287556e-05
Asia (excl. China and India),,1851,0.0
Asia (excl. China and India),,1852,0.0
Asia (excl. China and India),,1853,0.0
Asia (excl. China and India),,1854,0.0
Asia (excl. China and India),,1855,0.00021674066
Asia (excl. China and India),,1856,0.0
Asia (excl. China and India),,1857,0.0
Asia (excl. China and India),,1858,0.00029950953
Asia (excl. China and India),,1859,0.00031587837
Asia (excl. China and India),,1860,0.0004620803
Asia (excl. China and India),,1861,0.0005836914
Asia (excl. China and India),,1862,0.0005232695
Asia (excl. China and India),,1863,0.00054439704
Asia (excl. China and India),,1864,0.00060661073
Asia (excl. China and India),,1865,0.0013432449
Asia (excl. China and India),,1866,0.0028676619
Asia (excl. China and India),,1867,0.0032061203
Asia (excl. China and India),,1868,0.0026389908
Asia (excl. China and India),,1869,0.0037173673
Asia (excl. China and India),,1870,0.003344789
Asia (excl. China and India),,1871,0.0044192844
Asia (excl. China and India),,1872,0.0047484464
Asia (excl. China and India),,1873,0.004513372
Asia (excl. China and India),,1874,0.007881024
Asia (excl. China and India),,1875,0.012957095
Asia (excl. China and India),,1876,0.013386043
Asia (excl. China and India),,1877,0.013695478
Asia (excl. China and India),,1878,0.017389823
Asia (excl. China and India),,1879,0.018669933
Asia (excl. China and India),,1880,0.020016758
Asia (excl. China and India),,1881,0.02083263
Asia (excl. China and India),,1882,0.02146541
Asia (excl. China and India),,1883,0.023498202
Asia (excl. China and India),,1884,0.024646757
Asia (excl. China and India),,1885,0.027212817
Asia (excl. China and India),,1886,0.028159421
Asia (excl. China and India),,1887,0.032902338
Asia (excl. China and India),,1888,0.036284853
Asia (excl. China and India),,1889,0.04227781
Asia (excl. China and India),,1890,0.045760326
Asia (excl. China and India),,1891,0.0529413
Asia (excl. China and India),,1892,0.05501518
Asia (excl. China and India),,1893,0.062269658
Asia (excl. China and India),,1894,0.07112725
Asia (excl. China and India),,1895,0.07930847
Asia (excl. China and India),,1896,0.08332963
Asia (excl. China and India),,1897,0.08993096
Asia (excl. China and India),,1898,0.10971246
Asia (excl. China and India),,1899,0.11355706
Asia (excl. China and India),,1900,0.12606631
Asia (excl. China and India),,1901,0.14465825
Asia (excl. China and India),,1902,0.14577702
Asia (excl. China and India),,1903,0.15310031
Asia (excl. China and India),,1904,0.1704405
Asia (excl. China and India),,1905,0.17115484
Asia (excl. China and India),,1906,0.18626088
Asia (excl. China and India),,1907,0.2014671
Asia (excl. China and India),,1908,0.2091382
Asia (excl. China and India),,1909,0.2155407
Asia (excl. China and India),,1910,0.21836285
Asia (excl. China and India),,1911,0.23736186
Asia (excl. China and India),,1912,0.25537303
Asia (excl. China and India),,1913,0.27847314
Asia (excl. China and India),,1914,0.2855413
Asia (excl. China and India),,1915,0.2616868
Asia (excl. China and India),,1916,0.28646827
Asia (excl. China and India),,1917,0.3126331
Asia (excl. China and India),,1918,0.3025489
Asia (excl. China and India),,1919,0.33128104
Asia (excl. China and India),,1920,0.32047436
Asia (excl. China and India),,1921,0.3022966
Asia (excl. China and India),,1922,0.3270819
Asia (excl. China and India),,1923,0.35581172
Asia (excl. China and India),,1924,0.38007045
Asia (excl. China and India),,1925,0.39314315
Asia (excl. China and India),,1926,0.40644887
Asia (excl. China and India),,1927,0.443204
Asia (excl. China and India),,1928,0.472772
Asia (excl. China and India),,1929,0.489456
Asia (excl. China and India),,1930,0.4765342
Asia (excl. China and India),,1931,0.44749153
Asia (excl. China and India),,1932,0.453743
Asia (excl. China and India),,1933,0.50542504
Asia (excl. China and India),,1934,0.5637069
Asia (excl. China and India),,1935,0.5973994
Asia (excl. China and India),,1936,0.6539748
Asia (excl. China and India),,1937,0.69979596
Asia (excl. China and India),,1938,0.72422165
Asia (excl. China and India),,1939,0.7436986
Asia (excl. China and India),,1940,0.81464475
Asia (excl. China and India),,1941,0.75875044
Asia (excl. China and India),,1942,0.6393895
Asia (excl. China and India),,1943,0.6720887
Asia (excl. China and India),,1944,0.6744335
Asia (excl. China and India),,1945,0.502587
Asia (excl. China and India),,1946,0.5126216
Asia (excl. China and India),,1947,0.63272953
Asia (excl. China and India),,1948,0.63671154
Asia (excl. China and India),,1949,0.56473005
Asia (excl. China and India),,1950,0.54569864
Asia (excl. China and India),,1951,0.5934468
Asia (excl. China and India),,1952,0.6225672
Asia (excl. China and India),,1953,0.6655654
Asia (excl. China and India),,1954,0.691512
Asia (excl. China and India),,1955,0.7640213
Asia (excl. China and India),,1956,0.83168477
Asia (excl. China and India),,1957,0.891681
Asia (excl. China and India),,1958,0.9077827
Asia (excl. China and India),,1959,0.9446901
Asia (excl. China and India),,1960,1.0488126
Asia (excl. China and India),,1961,1.1438671
Asia (excl. China and India),,1962,1.1921293
Asia (excl. China and India),,1963,1.2766978
Asia (excl. China and India),,1964,1.3711836
Asia (excl. China and India),,1965,1.4686846
Asia (excl. China and India),,1966,1.5668352
Asia (excl. China and India),,1967,1.6935971
Asia (excl. China and India),,1968,1.8459208
Asia (excl. China and India),,1969,2.0129373
Asia (excl. China and India),,1970,2.2305653
Asia (excl. China and India),,1971,2.3639212
Asia (excl. China and India),,1972,2.4357424
Asia (excl. China and India),,1973,2.6061006
Asia (excl. China and India),,1974,2.586374
Asia (excl. China and India),,1975,2.5199764
Asia (excl. China and India),,1976,2.6603801
Asia (excl. China and India),,1977,2.7312565
Asia (excl. China and India),,1978,2.6995392
Asia (excl. China and India),,1979,2.778256
Asia (excl. China and India),,1980,2.728879
Asia (excl. China and India),,1981,2.6363935
Asia (excl. China and India),,1982,2.586779
Asia (excl. China and India),,1983,2.594988
Asia (excl. China and India),,1984,2.646421
Asia (excl. China and India),,1985,2.684129
Asia (excl. China and India),,1986,2.7104194
Asia (excl. China and India),,1987,2.7011228
Asia (excl. China and India),,1988,2.870709
Asia (excl. China and India),,1989,2.9228363
Asia (excl. China and India),,1990,2.9886227
Asia (excl. China and India),,1991,3.459413
Asia (excl. China and India),,1992,3.1326528
Asia (excl. China and India),,1993,3.1715727
Asia (excl. China and India),,1994,3.2217593
Asia (excl. China and India),,1995,3.1792674
Asia (excl. China and India),,1996,3.2234113
Asia (excl. China and India),,1997,3.2293494
Asia (excl. China and India),,1998,3.096082
Asia (excl. China and India),,1999,3.1994536
Asia (excl. China and India),,2000,3.3316355
Asia (excl. China and India),,2001,3.3287
Asia (excl. China and India),,2002,3.3585134
Asia (excl. China and India),,2003,3.4671035
Asia (excl. China and India),,2004,3.5628371
Asia (excl. China and India),,2005,3.5925777
Asia (excl. China and India),,2006,3.6340404
Asia (excl. China and India),,2007,3.6532035
Asia (excl. China and India),,2008,3.680645
Asia (excl. China and India),,2009,3.6321497
Asia (excl. China and India),,2010,3.8001034
Asia (excl. China and India),,2011,3.8811536
Asia (excl. China and India),,2012,3.9949102
Asia (excl. China and India),,2013,3.9362082
Asia (excl. China and India),,2014,3.9603672
Asia (excl. China and India),,2015,4.0260167
Asia (excl. China and India),,2016,4.0426517
Asia (excl. China and India),,2017,4.1152983
Asia (excl. China and India),,2018,4.134928
Asia (excl. China and India),,2019,4.126542
Asia (excl. China and India),,2020,3.900581
Asia (excl. China and India),,2021,3.9939396
Asia (excl. China and India),,2022,4.017375
Europe,,1750,0.061913442
Europe,,1760,0.06688439
Europe,,1770,0.07976402
Europe,,1780,0.09246606
Europe,,1790,0.11344665
Europe,,1800,0.16674893
Europe,,1801,0.16206962
Europe,,1802,0.20353201
Europe,,1803,0.14800158
Europe,,1804,0.15834765
Europe,,1805,0.15495482
Europe,,1806,0.16148834
Europe,,1807,0.17784221
Europe,,1808,0.17342553
Europe,,1809,0.17662488
Europe,,1810,0.19075261
Europe,,1811,0.192589
Europe,,1812,0.1939764
Europe,,1813,0.19398937
Europe,,1814,0.19689113
Europe,,1815,0.20127033
Europe,,1816,0.20793739
Europe,,1817,0.22302161
Europe,,1818,0.23012555
Europe,,1819,0.22588727
Europe,,1820,0.22237076
Europe,,1821,0.22647488
Europe,,1822,0.23298426
Europe,,1823,0.24110673
Europe,,1824,0.2439491
Europe,,1825,0.25490394
Europe,,1826,0.2547321
Europe,,1827,0.2703259
Europe,,1828,0.27133128
Europe,,1829,0.26664096
Europe,,1830,0.35617417
Europe,,1831,0.32927424
Europe,,1832,0.31890324
Europe,,1833,0.31905016
Europe,,1834,0.3390694
Europe,,1835,0.36678123
Europe,,1836,0.39945665
Europe,,1837,0.3914143
Europe,,1838,0.38807026
Europe,,1839,0.39788458
Europe,,1840,0.42845514
Europe,,1841,0.4369793
Europe,,1842,0.4586582
Europe,,1843,0.4640028
Europe,,1844,0.49102497
Europe,,1845,0.529346
Europe,,1846,0.5300987
Europe,,1847,0.56591445
Europe,,1848,0.5665373
Europe,,1849,0.59869826
Europe,,1850,0.63141084
Europe,,1851,0.61719257
Europe,,1852,0.6365532
Europe,,1853,0.6545445
Europe,,1854,0.77187663
Europe,,1855,0.7669066
Europe,,1856,0.8144841
Europe,,1857,0.8146005
Europe,,1858,0.8202491
Europe,,1859,0.85925263
Europe,,1860,0.94450563
Europe,,1861,1.0002675
Europe,,1862,1.0084398
Europe,,1863,1.0544888
Europe,,1864,1.1298358
Europe,,1865,1.2014318
Europe,,1866,1.2327125
Europe,,1867,1.2821474
Europe,,1868,1.2868912
Europe,,1869,1.3378711
Europe,,1870,1.3468962
Europe,,1871,1.4248694
Europe,,1872,1.5271469
Europe,,1873,1.5945331
Europe,,1874,1.467215
Europe,,1875,1.6062756
Europe,,1876,1.6309651
Europe,,1877,1.614677
Europe,,1878,1.6190834
Europe,,1879,1.6583073
Europe,,1880,1.8508594
Europe,,1881,1.8853287
Europe,,1882,1.9344689
Europe,,1883,2.0283248
Europe,,1884,1.999645
Europe,,1885,1.9910889
Europe,,1886,1.973728
Europe,,1887,2.0329983
Europe,,1888,2.1371117
Europe,,1889,2.220028
Europe,,1890,2.3038516
Europe,,1891,2.3660624
Europe,,1892,2.31092
Europe,,1893,2.2283437
Europe,,1894,2.3989475
Europe,,1895,2.4426491
Europe,,1896,2.5333207
Europe,,1897,2.6373367
Europe,,1898,2.6994092
Europe,,1899,2.8514073
Europe,,1900,2.9655838
Europe,,1901,2.9146738
Europe,,1902,2.891582
Europe,,1903,2.9839547
Europe,,1904,3.013131
Europe,,1905,3.074474
Europe,,1906,3.1449249
Europe,,1907,3.4537086
Europe,,1908,3.4793112
Europe,,1909,3.4568374
Europe,,1910,3.479813
Europe,,1911,3.5427163
Europe,,1912,3.6603959
Europe,,1913,3.9528267
Europe,,1914,3.5111609
Europe,,1915,3.3219702
Europe,,1916,3.4657066
Europe,,1917,3.3960104
Europe,,1918,3.0801651
Europe,,1919,2.606613
Europe,,1920,3.01059
Europe,,1921,2.7314312
Europe,,1922,3.0268605
Europe,,1923,2.8706913
Europe,,1924,3.2883122
Europe,,1925,3.2323763
Europe,,1926,2.749292
Europe,,1927,3.4830554
Europe,,1928,3.470461
Europe,,1929,3.7394032
Europe,,1930,3.5098577
Europe,,1931,3.2525935
Europe,,1932,3.000917
Europe,,1933,3.0684218
Europe,,1934,3.3343277
Europe,,1935,3.4776454
Europe,,1936,3.6677501
Europe,,1937,3.9526641
Europe,,1938,3.9432306
Europe,,1939,4.0084133
Europe,,1940,4.239569
Europe,,1941,4.0566373
Europe,,1942,3.7616658
Europe,,1943,3.7583966
Europe,,1944,3.5299282
Europe,,1945,2.2968955
Europe,,1946,3.0779703
Europe,,1947,3.5330973
Europe,,1948,3.7905762
Europe,,1949,4.1125617
Europe,,1950,4.3333874
Europe,,1951,4.740508
Europe,,1952,4.847306
Europe,,1953,4.9376793
Europe,,1954,5.2017517
Europe,,1955,5.608118
Europe,,1956,5.91675
Europe,,1957,6.110579
Europe,,1958,6.1139913
Europe,,1959,6.188381
Europe,,1960,6.5422263
Europe,,1961,6.7137985
Europe,,1962,7.0163207
Europe,,1963,7.3903
Europe,,1964,7.6895933
Europe,,1965,7.8493195
Europe,,1966,8.0561285
Europe,,1967,8.172168
Europe,,1968,8.49377
Europe,,1969,8.899529
Europe,,1970,9.277427
Europe,,1971,9.567956
Europe,,1972,9.849934
Europe,,1973,10.226584
Europe,,1974,10.192809
Europe,,1975,10.193174
Europe,,1976,10.689769
Europe,,1977,10.717331
Europe,,1978,11.003916
Europe,,1979,11.213791
Europe,,1980,11.168543
Europe,,1981,10.716284
Europe,,1982,10.587687
Europe,,1983,10.554657
Europe,,1984,10.585131
Europe,,1985,11.002175
Europe,,1986,10.975837
Europe,,1987,10.961012
Europe,,1988,10.967613
Europe,,1989,10.879464
Europe,,1990,11.133637
Europe,,1991,10.686875
Europe,,1992,9.779539
Europe,,1993,9.364826
Europe,,1994,8.861366
Europe,,1995,8.826845
Europe,,1996,8.891271
Europe,,1997,8.607609
Europe,,1998,8.572088
Europe,,1999,8.461659
Europe,,2000,8.460033
Europe,,2001,8.635014
Europe,,2002,8.589781
Europe,,2003,8.784932
Europe,,2004,8.820896
Europe,,2005,8.800663
Europe,,2006,8.927101
Europe,,2007,8.85035
Europe,,2008,8.725916
Europe,,2009,8.01011
Europe,,2010,8.308571
Europe,,2011,8.192382
Europe,,2012,8.110392
Europe,,2013,7.889541
Europe,,2014,7.567912
Europe,,2015,7.5570736
Europe,,2016,7.5343156
Europe,,2017,7.565342
Europe,,2018,7.5211334
Europe,,2019,7.276999
Europe,,2020,6.731591
Europe,,2021,7.1178274
Europe,,2022,6.8578663
Europe (excl. EU-27),,1750,0.23076662
